Symbol,Company,Sector,Industry,CIK
TWTR,Twitter Inc.,Communication Services,Interactive Media & Services,1418091
TYL,Tyler Technologies,Information Technology,Application Software,860731
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,100493
USB,U.S. Bank,Financials,Diversified Banks,36104
UDR,"UDR, Inc.",Real Estate,Residential REITs,74208
ULTA,Ulta Beauty,Consumer Discretionary,Specialty Stores,1403568
UNP,Union Pacific Corporation,Industrials,Railroads,100885
UAL,United Airlines Holdings,Industrials,Airlines,100517
UPS,United Parcel Service,Industrials,Air Freight & Logistics,1090727
URI,United Rentals,Industrials,Trading Companies & Distributors,1067701
UNH,UnitedHealth Group,Health Care,Managed Health Care,731766
UHS,Universal Health Services,Health Care,Health Care Facilities,352915
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,1035002
VTR,Ventas,Real Estate,Health Care REITs,740260
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,1014473
VRSK,Verisk,Industrials,Research & Consulting Services,1442145
VZ,Verizon,Communication Services,Integrated Telecommunication Services,732712
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,875320
VFC,VF Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",103379
VTRS,Viatris,Health Care,Pharmaceuticals,1792044
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,1705696
V,Visa Inc.,Information Technology,Data Processing & Outsourced Services,1403161
VNO,Vornado Realty Trust,Real Estate,Office REITs,899689
VMC,Vulcan Materials Company,Materials,Construction Materials,1396009
WAB,Wabtec,Industrials,Construction Machinery & Heavy Trucks,943452
WBA,Walgreens Boots Alliance,Consumer Staples,Drug Retail,1618921
WMT,Walmart,Consumer Staples,Hypermarkets & Super Centers,104169
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,1437107
WM,Waste Management,Industrials,Environmental & Facilities Services,823768
WAT,Waters Corporation,Health Care,Health Care Distributors,1000697
WEC,WEC Energy Group,Utilities,Electric Utilities,783325
WFC,Wells Fargo,Financials,Diversified Banks,72971
WELL,Welltower,Real Estate,Health Care REITs,766704
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,105770
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",106040
WRK,WestRock,Materials,Paper Packaging,1732845
WY,Weyerhaeuser,Real Estate,Specialized REITs,106535
WHR,Whirlpool Corporation,Consumer Discretionary,Household Appliances,106640
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,107263
WTW,Willis Towers Watson,Financials,Insurance Brokers,1140536
GWW,W. W. Grainger,Industrials,Industrial Machinery,277135
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,1174922
XEL,Xcel Energy,Utilities,Multi-Utilities,72903
XYL,Xylem Inc.,Industrials,Industrial Machinery,1524472
YUM,Yum! Brands,Consumer Discretionary,Restaurants,1041061
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,877212
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,1136869
ZION,Zions Bancorporation,Financials,Regional Banks,109380
ZTS,Zoetis,Health Care,Pharmaceuticals,1555280
